Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666454475.913664,0,57676,0,GPS1_FRAME,42.33583,-71.09997833333334,29.1,326998.56709181867,4689199.818051707,19,T
1666454476.918591,0,57677,0,GPS1_FRAME,42.33586,-71.099975,29.0,326998.92397745285,4689203.142542859,19,T
1666454477.9195185,0,57678,0,GPS1_FRAME,42.33589166666667,-71.09994666666667,28.8,327001.34508043376,4689206.601242133,19,T
1666454478.9210987,0,57679,0,GPS1_FRAME,42.335926666666666,-71.09988666666666,28.7,327006.3842065765,4689210.3656593785,19,T
1666454479.9202275,0,57680,0,GPS1_FRAME,42.335966666666664,-71.09981,28.6,327012.8101338147,4689214.651386118,19,T
1666454480.9142797,0,57681,0,GPS1_FRAME,42.33600666666667,-71.09972333333333,28.5,327020.0599104746,4689218.916775728,19,T
1666454481.9134912,0,57682,0,GPS1_FRAME,42.33604666666667,-71.09963333333333,28.3,327027.5842970717,4689223.175391966,19,T
1666454482.9204319,0,57683,0,GPS1_FRAME,42.336083333333335,-71.09954333333333,28.2,327035.0995355033,4689227.0638746,19,T
1666454483.9201088,0,57684,0,GPS1_FRAME,42.33611666666667,-71.09945833333333,28.1,327042.19369896094,4689230.592393724,19,T
1666454484.9191484,0,57685,0,GPS1_FRAME,42.336146666666664,-71.09938333333334,28.0,327048.4548614294,4689233.771117832,19,T
1666454485.9200432,0,57686,0,GPS1_FRAME,42.336171666666665,-71.09932,27.8,327053.7411469378,4689236.418363838,19,T
1666454486.9153216,0,57687,0,GPS1_FRAME,42.336191666666664,-71.09926666666667,27.7,327058.1898670298,4689238.530739872,19,T
1666454487.9206834,0,57688,0,GPS1_FRAME,42.33620666666667,-71.09922666666667,27.5,327061.52640527225,4689240.115023703,19,T
1666454488.92025,0,57689,0,GPS1_FRAME,42.336216666666665,-71.0992,27.3,327063.7507632299,4689241.171213782,19,T
1666454489.9207215,0,57690,0,GPS1_FRAME,42.336223333333336,-71.09918,27.2,327065.416746933,4689241.870821436,19,T
1666454490.9205775,0,57691,0,GPS1_FRAME,42.33623166666667,-71.09915833333334,27.1,327067.2246079352,4689242.752110641,19,T
1666454491.9154675,0,57692,0,GPS1_FRAME,42.336243333333336,-71.09912333333334,26.9,327070.1400778658,4689243.9764257,19,T
1666454492.919847,0,57693,0,GPS1_FRAME,42.33626,-71.09907666666666,26.8,327074.03041504696,4689245.732228096,19,T
1666454493.914432,0,57694,0,GPS1_FRAME,42.33627833333333,-71.09902,26.6,327078.7491722959,4689247.652767304,19,T
1666454494.9202564,0,57695,0,GPS1_FRAME,42.33629833333333,-71.09896333333333,26.5,327083.47249498486,4689249.758380335,19,T
1666454495.922054,0,57696,0,GPS1_FRAME,42.33631666666667,-71.09890833333333,26.4,327088.05393780256,4689251.682314903,19,T
1666454496.9203415,0,57697,0,GPS1_FRAME,42.336335,-71.098855,26.3,327092.49806914415,4689253.609641453,19,T
1666454497.9199102,0,57698,0,GPS1_FRAME,42.336351666666665,-71.09880666666666,26.1,327096.5257037103,4689255.362066977,19,T
1666454498.9204676,0,57699,0,GPS1_FRAME,42.33636833333333,-71.09876333333334,26.0,327100.14140987175,4689257.12466149,19,T
1666454499.9213493,0,57700,0,GPS1_FRAME,42.33638333333333,-71.09872,25.9,327103.7525465187,4689258.7021870995,19,T
